学会タイトル,発表タイトル,発表者,発表者の所属
人工知能学会2025,[3E6-GS-10-03] オンライン旅行代理店におけるユーザー単位の宿泊予約予測,竹内 孝,京都大学
人工知能学会2025,[3E6-GS-10-03] オンライン旅行代理店におけるユーザー単位の宿泊予約予測,鹿島 久嗣,京都大学
人工知能学会2025,[3E6-GS-10-03] オンライン旅行代理店におけるユーザー単位の宿泊予約予測,松井 諒生,株式会社リクルート
人工知能学会2025,[3E6-GS-10-03] オンライン旅行代理店におけるユーザー単位の宿泊予約予測,吉住 宗朔,株式会社リクルート
人工知能学会2025,[3E6-GS-10-03] オンライン旅行代理店におけるユーザー単位の宿泊予約予測,梅谷 俊治,株式会社リクルート
人工知能学会2025,[3E6-GS-10-03] オンライン旅行代理店におけるユーザー単位の宿泊予約予測,鈴木 透馬,株式会社リクルート
人工知能学会2025,[3E6-GS-10-04] 英語学習者の視線情報を用いたスマートフォン向け未知単語推定システムの検討,佃 真次郎,大阪府立大学
人工知能学会2025,[3E6-GS-10-04] 英語学習者の視線情報を用いたスマートフォン向け未知単語推定システムの検討,岩田 基,大阪公立大学
人工知能学会2025,[3E6-GS-10-04] 英語学習者の視線情報を用いたスマートフォン向け未知単語推定システムの検討,黄瀬 浩一,大阪公立大学
人工知能学会2025,[3E6-GS-10-05] 因果推論モデルを使用した英語学習用リコメンドシステムの評価,平石 紘也,長岡技術科学大学
人工知能学会2025,[3E6-GS-10-05] 因果推論モデルを使用した英語学習用リコメンドシステムの評価,林 美澪,長岡技術科学大学
人工知能学会2025,[3E6-GS-10-05] 因果推論モデルを使用した英語学習用リコメンドシステムの評価,山崎 俊彦,東京大学
人工知能学会2025,[3E6-GS-10-05] 因果推論モデルを使用した英語学習用リコメンドシステムの評価,東野 友昭,実用英語スクールTFA
人工知能学会2025,[3E6-GS-10-05] 因果推論モデルを使用した英語学習用リコメンドシステムの評価,土居 裕和,長岡技術科学大学
人工知能学会2025,[4O1-GS-10-01] 社会ネットワークにおける高次の異質性属性による音楽選好のクラスタリング,金本 昂志郎,名古屋工業大学
人工知能学会2025,[4O1-GS-10-01] 社会ネットワークにおける高次の異質性属性による音楽選好のクラスタリング,島 孔介,名古屋工業大学
人工知能学会2025,[4O1-GS-10-01] 社会ネットワークにおける高次の異質性属性による音楽選好のクラスタリング,武藤 敦子,名古屋工業大学
人工知能学会2025,[4O1-GS-10-01] 社会ネットワークにおける高次の異質性属性による音楽選好のクラスタリング,森山 甲一,名古屋工業大学
人工知能学会2025,[4O1-GS-10-01] 社会ネットワークにおける高次の異質性属性による音楽選好のクラスタリング,松井 藤五郎,中部大学
人工知能学会2025,[4O1-GS-10-01] 社会ネットワークにおける高次の異質性属性による音楽選好のクラスタリング,犬塚 信博,名古屋工業大学
人工知能学会2025,[4O1-GS-10-02] 数式混じり文書を用いたRAGシステムにおける参照元文書タイプの影響調査,船蔵 颯、森 楓,京都大学、慶應義塾大学、株式会社キカガク、株式会社キカガク
人工知能学会2025,[4O1-GS-10-03] Deep-IRTによる解答時間予測と項目特性分析,岸田 若葉,電気通信大学
人工知能学会2025,[4O1-GS-10-03] Deep-IRTによる解答時間予測と項目特性分析,堤 瑛美子,法政大学
人工知能学会2025,[4O1-GS-10-03] Deep-IRTによる解答時間予測と項目特性分析,植野 真臣,電気通信大学
人工知能学会2025,[4O1-GS-10-04] 物語に登場する理想の教師像の特徴分析に基づく悩み応答システムの開発,大柳 裕士,公立はこだて未来大学
人工知能学会2025,[4O1-GS-10-04] 物語に登場する理想の教師像の特徴分析に基づく悩み応答システムの開発,村井 源,公立はこだて未来大学
人工知能学会2025,[4O1-GS-10-05] 登場人物の台詞を用いた組織関係抽出のための評価分析モデルの構築,西村 秀幸,公立はこだて未来大学
人工知能学会2025,[4O1-GS-10-05] 登場人物の台詞を用いた組織関係抽出のための評価分析モデルの構築,村井 源,公立はこだて未来大学
人工知能学会2025,[4A1-GS-10-01] 大規模言語モデルの岩石物理への適用,柾谷 将吾,株式会社INPEX
人工知能学会2025,[4A1-GS-10-02] 大規模言語モデルによる日本語電子カルテの治療中止理由分類,伊藤 健,奈良先端科学技術大
人工知能学会2025,[4A1-GS-10-02] 大規模言語モデルによる日本語電子カルテの治療中止理由分類,吉江 智秀,国立循環器病センター
人工知能学会2025,[4A1-GS-10-02] 大規模言語モデルによる日本語電子カルテの治療中止理由分類,吉村 壮平,国立循環器病センター
人工知能学会2025,[4A1-GS-10-02] 大規模言語モデルによる日本語電子カルテの治療中止理由分類,尾原 信行,神戸市立医療センター中央市民病院
人工知能学会2025,[4A1-GS-10-02] 大規模言語モデルによる日本語電子カルテの治療中止理由分類,矢田 竣太郎,筑波大学
人工知能学会2025,[4A1-GS-10-02] 大規模言語モデルによる日本語電子カルテの治療中止理由分類,若宮 翔子,奈良先端科学技術大
人工知能学会2025,[4A1-GS-10-02] 大規模言語モデルによる日本語電子カルテの治療中止理由分類,荒牧 英治,奈良先端科学技術大
人工知能学会2025,[4A1-GS-10-03] 大規模言語モデルを用いた自然言語入力による看護師勤務表生成手法の検討,太田 満久,Ubie株式会社
人工知能学会2025,[4A1-GS-10-03] 大規模言語モデルを用いた自然言語入力による看護師勤務表生成手法の検討,西林 孝,Ubie株式会社
人工知能学会2025,[4A1-GS-10-03] 大規模言語モデルを用いた自然言語入力による看護師勤務表生成手法の検討,風間 正弘,Ubie株式会社
人工知能学会2025,[4A1-GS-10-04] 大規模言語モデルを用いたマニュアル向け文章の分類および順序付け手法の提案,上前 諒輔,北海道大学大学院情報科学院
人工知能学会2025,[4A1-GS-10-04] 大規模言語モデルを用いたマニュアル向け文章の分類および順序付け手法の提案,横山 想一郎,北海道大学大学院情報科学研究院
人工知能学会2025,[4A1-GS-10-04] 大規模言語モデルを用いたマニュアル向け文章の分類および順序付け手法の提案,山下 倫央,北海道大学大学院情報科学研究院
人工知能学会2025,[4A1-GS-10-04] 大規模言語モデルを用いたマニュアル向け文章の分類および順序付け手法の提案,川村 秀憲,北海道大学大学院情報科学研究院
人工知能学会2025,[4A1-GS-10-04] 大規模言語モデルを用いたマニュアル向け文章の分類および順序付け手法の提案,永田 功,YAMAGATA株式会社
人工知能学会2025,[4A1-GS-10-05] 深層言語モデルを用いた災害対応検証報告書からのヒヤリハット事例文の分類手法の提案,野村 爽太,北海道大学大学院情報科学院
人工知能学会2025,[4A1-GS-10-05] 深層言語モデルを用いた災害対応検証報告書からのヒヤリハット事例文の分類手法の提案,横山 想一郎,北海道大学大学院情報科学研究院
人工知能学会2025,[4A1-GS-10-05] 深層言語モデルを用いた災害対応検証報告書からのヒヤリハット事例文の分類手法の提案,山下 倫央,北海道大学大学院情報科学研究院
人工知能学会2025,[4A1-GS-10-05] 深層言語モデルを用いた災害対応検証報告書からのヒヤリハット事例文の分類手法の提案,川村 秀憲,北海道大学大学院情報科学研究院
人工知能学会2025,[4A1-GS-10-05] 深層言語モデルを用いた災害対応検証報告書からのヒヤリハット事例文の分類手法の提案,大原 美保,東京大学大学院情報学環
人工知能学会2025,[4Q1-GS-10-01] 画像を含む文書から検索用洞察を生成することによるマルチモーダルRAGシステムの検索精度の改善,福井 琢,富士通株式会社
人工知能学会2025,[4Q1-GS-10-01] 画像を含む文書から検索用洞察を生成することによるマルチモーダルRAGシステムの検索精度の改善,宗像 聡,富士通株式会社
人工知能学会2025,[4Q1-GS-10-02] 文字単位の埋め込み表現と編集距離の統合による商品ブランド名の表記ゆれ修正手法,鈴木 柾孝,早稲田大学
人工知能学会2025,[4Q1-GS-10-02] 文字単位の埋め込み表現と編集距離の統合による商品ブランド名の表記ゆれ修正手法,奥田 悠斗,東京大学
人工知能学会2025,[4Q1-GS-10-02] 文字単位の埋め込み表現と編集距離の統合による商品ブランド名の表記ゆれ修正手法,山極 綾子,早稲田大学
人工知能学会2025,[4Q1-GS-10-02] 文字単位の埋め込み表現と編集距離の統合による商品ブランド名の表記ゆれ修正手法,後藤 正幸,早稲田大学
人工知能学会2025,[4Q1-GS-10-03] 定量的官能評価の機器分析置き換えに向けたディープラーニングによる咀嚼挙動解析,志村 和真,東京電機大学大学院
人工知能学会2025,[4Q1-GS-10-03] 定量的官能評価の機器分析置き換えに向けたディープラーニングによる咀嚼挙動解析,武政 誠,東京電機大学大学院
人工知能学会2025,[4Q1-GS-10-04] 「マジ神AI」を活用した介護サービスの実践が被介護者の状態変化に与える影響,福田 亮子,株式会社ベネッセスタイルケア
人工知能学会2025,[4Q1-GS-10-04] 「マジ神AI」を活用した介護サービスの実践が被介護者の状態変化に与える影響,原田 文雄,株式会社ベネッセスタイルケア
人工知能学会2025,[4Q1-GS-10-04] 「マジ神AI」を活用した介護サービスの実践が被介護者の状態変化に与える影響,松本 知恵,株式会社ベネッセスタイルケア
人工知能学会2025,[4Q1-GS-10-04] 「マジ神AI」を活用した介護サービスの実践が被介護者の状態変化に与える影響,祝田 健,株式会社ベネッセスタイルケア
人工知能学会2025,[4Q1-GS-10-05] 文書間類似度をアンケートの回答分析へ応用した事例報告,圭室 俊雄,専修大学
